skincarer_ingred_id,skincarisma_ingred_id,ewg_ingred_id,ingred_name,common_name,remark,ewg,cir,data_availability,comedogenic_rating,sensitive_skin_bad,sensitive_skin_good,dry_skin_bad,dry_skin_good,oily_skin_bad,oily_skin_good,harmful_sub_alcohol,harmful_sub_allergens,harmful_sub_paraben,harmful_sub_sulfate,harmful_sub_silicone,harmful_sub_fungal_acen_trigger,effect_uv_protection,effect_promotes_wound_healing,effect_acne_fighting,effect_brightening,effect_anti_aging,concerns_cancer,concerns_dev_rep,concerns_allergies,concerns_use_res,concerns_endo,concerns_neuro,concerns_organ,concerns_biochem,concerns_bioacc,concerns_eco,concerns_irr,concerns_occup,concerns_abs,concerns_contam,concerns_multi,join_helper
700009,1,700009,1-Methyl-Hydantoin-2-Imide,1-Methylhydantoin-2-Imide,Skin Conditioning,1,NA,Fair,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1methylhydantoin2imide
716131,2,716131,"1,10-Decanediol","1,10-Decanediol",Solvent,1,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,110decanediol
716131,2,716131,"1,10-Decanediol",Leaf,Solvent,1,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,leaf
3,3,NA,"1,2-Dithiolane-3-Pentanoic Acid-Methoxypolyethyleneglycol Ester","1,2-Dithiolane-3-Pentanoic Acid-Methoxypolyethyleneglycol Ester",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12dithiolane3pentanoicacidmethoxypolyethyleneglycolester
700001,4,700001,"1,2-Hexanediol","1,2-Hexanediol",Solvent,1,A,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12hexanediol
716145,5,716145,10-Hydroxydecanoic Acid,10-Hydroxydecanoic Acid,Skin Conditioning,1,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10hydroxydecanoicacid
700019,6,700019,"2-Bromo-2-Nitropropane-1,3-Diol","2-Bromo-2-Nitropropane-1,3-Diol",Preservative,8,B,Fair,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,low,null,high,low,null,null,high,null,null,low,high,high,null,null,null,2bromo2nitropropane13diol
862551,7,862551,2-O-Ethyl Ascorbic Acid,2-O-Ethyl Ascorbic Acid,Skin Conditioning,1,NA,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2oethylascorbicacid
700031,8,700031,"2-Oleamido-1,3-Octadecanediol","2-Oleamido-1,3-Octadecanediol",Skin Conditioning<br/>Emollient,1,A,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2oleamido13octadecanediol
700013,9,700013,"2,6-Dimethyl-7-Octen-2-Ol","2,6-Dimethyl-7-Octen-2-Ol",Masking<br/>Perfuming<br/>Solvent,1,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26dimethyl7octen2ol
700037,10,700037,3-Aminopropane Sulfonic Acid,3-Aminopropane Sulfonic Acid,Hydrotrope<br/>Surfactant,1,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3aminopropanesulfonicacid
11,11,NA,3-Glyceryl Ascorbate,3-Glyceryl Ascorbate,Antioxidant<br/>Humectant,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3glycerylascorbate
716201,12,716201,3-Hexenol,3-Hexenol,Fragrance<br/>Humectant<br/>Perfuming<br/>Solvent<br/>Viscosity Controlling,1,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,low,null,low,null,null,null,low,null,null,null,null,3hexenol
716201,12,716201,3-Hexenol,3-Hexenol (Green Leaves),Fragrance<br/>Humectant<br/>Perfuming<br/>Solvent<br/>Viscosity Controlling,1,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,low,null,low,null,null,null,low,null,null,null,null,3hexenolgreenleaves
13,13,NA,3-Laurylglyceryl Ascorbate,3-Laurylglyceryl Ascorbate,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3laurylglycerylascorbate
14,14,NA,3-O-Cetyl Ascorbic Acid,3-O-Cetyl Ascorbic Acid,Skin Conditioning,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3ocetylascorbicacid
700044,15,700044,4-Amino-2-Hydroxytoluene,4-Amino-2-Hydroxytoluene,Hair Dyeing,4,A,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,low,null,moderate,moderate,null,null,null,null,null,null,null,null,null,null,null,4amino2hydroxytoluene
716217,16,716217,4-Butylresorcinol,4-Butylresorcinol,Antioxidant,1,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4butylresorcinol
704450,17,704450,4-Hydroxybenzoic Acid,4-Hydroxybenzoic Acid,Fragrance<br/>Preservative,3,NA,Fair,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,moderate,null,null,null,null,null,null,null,null,null,low,4hydroxybenzoicacid
704450,17,704450,4-Hydroxybenzoic Acid,Paraben,Fragrance<br/>Preservative,3,NA,Fair,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,moderate,null,null,null,null,null,null,null,null,null,low,paraben
18,18,NA,4-Methylbenzaldehyde,4-Methylbenzaldehyde,Masking,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4methylbenzaldehyde
19,19,NA,4-Methylbenzylidene Camphor,4-Methylbenzylidene Camphor,Uv Absorber<br/>Uv Filter,7,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4methylbenzylidenecamphor
728892,20,728892,4-T-Butylcyclohexanol,4-T-Butylcyclohexanol,Masking<br/>Perfuming,1,NA,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4tbutylcyclohexanol
22,22,NA,6-Aminocaproic Acid,6-Aminocaproic Acid,NA,3,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6aminocaproicacid
700052,23,700052,7-Dehydrocholesterol,7-Dehydrocholesterol,Skin Conditioning<br/>Viscosity Increasing Agent<br/>Emulsion Stabilising<br/>Viscosity Controlling,1,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7dehydrocholesterol
24,24,NA,Abalone Extract,Abalone Extract,Skin Conditioning,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abaloneextract
25,25,NA,Abelmoschus Esculentus Fruit Extract,Abelmoschus Esculentus Fruit Extract,Skin Conditioning,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abelmoschusesculentusfruitextract
26,26,NA,Abelmoschus Manihot Root Extract,Abelmoschus Manihot Root Extract,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abelmoschusmanihotrootextract
716251,27,716251,Abies Alba Leaf Oil,Abies Alba Leaf Oil,Masking<br/>Perfuming<br/>Tonic,2,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,moderate,null,null,null,null,null,null,null,null,null,null,low,abiesalbaleafoil
716251,27,716251,Abies Alba Leaf Oil,Abies Alba (Pine) Needle Oil,Masking<br/>Perfuming<br/>Tonic,2,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,moderate,null,null,null,null,null,null,null,null,null,null,low,abiesalbapineneedleoil
29,29,NA,Abies Koreana Leaf Extract,Abies Koreana Leaf Extract,Hair Conditioning<br/>Hair Waving Or Straightening<br/>Skin Conditioning,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abieskoreanaleafextract
31,31,NA,Abronia Villosa Leaf Extract,Abronia Villosa Leaf Extract,Skin Conditioning,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,abroniavillosaleafextract
32,32,NA,Acacia Arabica Stem Bark Extract,Acacia Arabica Stem Bark Extract,Skin Conditioning,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acaciaarabicastembarkextract
716257,33,716257,Acacia Concinna Fruit Extract,Acacia Concinna Fruit Extract,Skin Conditioning,1,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,low,null,null,null,null,null,null,null,null,null,null,null,acaciaconcinnafruitextract
728899,34,728899,Acacia Concinna Fruit Powder,Acacia Concinna Fruit Powder,Hair Conditioning,1,NA,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,acaciaconcinnafruitpowder
716258,35,716258,Acacia Dealbata Flower Wax,Acacia Dealbata Flower Wax,Skin Conditioning<br/>Emollient,1,B,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,acaciadealbataflowerwax
716260,36,716260,Acacia Decurrens Extract,Acacia Decurrens Extract,Cosmetic Astringent<br/>Skin Conditioning<br/>Tonic,1,NA,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,low,null,null,null,null,null,null,null,null,null,null,null,acaciadecurrensextract
716260,36,716260,Acacia Decurrens Extract,Acacia Decurrens (Mimosa) Flower Wax,Cosmetic Astringent<br/>Skin Conditioning<br/>Tonic,1,NA,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,low,null,null,null,null,null,null,null,null,null,null,null,acaciadecurrensmimosaflowerwax
726887,37,726887,Acacia Decurrens Flower Extract,Acacia Decurrens Flower Extract,Masking<br/>Perfuming,1,NA,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,acaciadecurrensflowerextract
726887,37,726887,Acacia Decurrens Flower Extract,Acacia Decurrens Flower Extract*,Masking<br/>Perfuming,1,NA,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,acaciadecurrensflowerextract
716261,38,716261,Acacia Decurrens Flower Wax,Acacia Decurrens Flower Wax,Skin Conditioning<br/>Emollient<br/>Skin Protecting,1,NA,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,acaciadecurrensflowerwax
39,39,NA,Acacia Decurrens/Jojoba/Sunflower Seed Wax Polyglyceryl-3 Esters,Acacia Decurrens/Jojoba/Sunflower Seed Wax Polyglyceryl-3 Esters,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acaciadecurrensjojobasunflowerseedwaxpolyglyceryl3esters
726888,40,726888,Acacia Farnesiana Flower Extract,Acacia Farnesiana Flower Extract,Perfuming,1,NA,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,acaciafarnesianaflowerextract
41,41,NA,Acacia Farnesiana Flower Wax,Acacia Farnesiana Flower Wax,Skin Protecting,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acaciafarnesianaflowerwax
707097,43,707097,Acacia Senegal Gum,Acacia Senegal Gum,Adhesive<br/>Fragrance<br/>Film Forming<br/>Masking,2,A,Fair,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,moderate,null,null,null,moderate,null,null,null,null,null,null,null,null,acaciasenegalgum
716266,44,716266,Acacia Senegal Gum Extract,Acacia Senegal Gum Extract,Viscosity Controlling,1,A,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,acaciasenegalgumextract
45,45,NA,Acacia Seyal Gum Extract,Acacia Seyal Gum Extract,Humectant,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acaciaseyalgumextract
728901,46,728901,Acacia Victoriae Fruit Extract,Acacia Victoriae Fruit Extract,Antioxidant<br/>Hair Conditioning<br/>Skin Conditioning,1,NA,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,acaciavictoriaefruitextract
728901,46,728901,Acacia Victoriae Fruit Extract,Acacia Victoriae (Wattleseed) Extract,Antioxidant<br/>Hair Conditioning<br/>Skin Conditioning,1,NA,None,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,acaciavictoriaewattleseedextract
47,47,NA,Acanthopanax Koreanum Adventitious Root Culture Extract,Acanthopanax Koreanum Adventitious Root Culture Extract,Antioxidant<br/>Hair Conditioning<br/>Humectant<br/>Skin Conditioning<br/>Skin Protecting,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acanthopanaxkoreanumadventitiousrootcultureextract
48,48,NA,Acanthopanax Koreanum Extract,Acanthopanax Koreanum Extract,Skin Conditioning,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acanthopanaxkoreanumextract
49,49,NA,Acanthopanax Senticosus,Acanthopanax Senticosus,Eleuthero Root Extract,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acanthopanaxsenticosus
